time,tempICP,hum,tempSI7021,windSpeed,pres,RVPin,TMPPin,noise,noiseCalib,lum,meanRadTempPin,meanRadTempCalib,trNat,trFor
Fri Nov 10 22:05:07 2023,21.06293,48.95834,20.87899,0.015989,99577.2,2367,3066,21,56.12846,0.0,19.6875,18.24,16.21915,18.16873
Fri Nov 10 22:06:07 2023,21.04691,48.98123,20.84682,0.01168917,99579.98,2355,3062,22,55.82215,0.0,19.6875,18.24,16.25021,18.18167
Fri Nov 10 22:07:08 2023,21.04156,48.98123,20.85754,0.01303616,99585.91,2359,3059,23,55.50464,0.0,19.625,18.15,16.06064,18.08524
Fri Nov 10 22:08:09 2023,21.04156,49.00412,20.84682,0.01296517,99585.32,2359,3061,18,56.98748,0.0,19.625,18.15,16.07108,18.08572
Fri Nov 10 22:09:10 2023,21.04424,48.99649,20.84682,0.01078173,99588.51,2352,3056,21,56.12846,0.0,19.625,18.15,16.07108,18.09244
Fri Nov 10 22:10:11 2023,21.03088,49.00412,20.83609,0.009303879,99588.75,2347,3056,24,55.17508,0.0,19.625,18.15,16.08151,18.09753
Fri Nov 10 22:11:12 2023,21.0202,49.00412,20.82537,0.008977649,99590.67,2346,3054,22,55.82215,0.0,19.625,18.15,16.09195,18.09885
Fri Nov 10 22:12:12 2023,21.02554,48.99649,20.81465,0.01778723,99590.98,2373,3066,20,56.42435,0.0,19.625,18.15,16.10239,18.07321
Fri Nov 10 22:13:13 2023,21.02554,48.98886,20.82537,0.009795733,99589.97,2349,3057,25,54.83252,0.0,19.625,18.15,16.09195,18.0961
Fri Nov 10 22:14:14 2023,21.03889,48.96597,20.86827,0.008164132,99592.14,2342,3047,19,56.71048,0.0,19.625,18.15,16.05017,18.10092
Fri Nov 10 22:15:15 2023,21.14838,48.80576,20.98624,0.002181895,99597.2,2307,3009,34,50.92837,0.0,19.625,18.15,15.9343,18.1268
Fri Nov 10 22:16:16 2023,21.25252,48.61502,21.11495,0.002759667,99598.32,2309,2987,26,54.47589,0.0,19.6875,18.24,15.98813,18.21292
Fri Nov 10 22:17:17 2023,21.37268,48.34799,21.23293,0.0008543233,99597.36,2288,2966,38,48.40382,0.0,19.8125,18.42,16.23352,18.40695
Fri Nov 10 22:18:17 2023,21.4875,48.11911,21.41525,0.0008253526,99600.4,2284,2951,45,40.65384,0.0,20.0,18.69,16.59521,18.67764
Fri Nov 10 22:19:18 2023,21.605,47.86734,21.50105,1.10463e-05,99600.22,2259,2946,29,53.30872,0.0,20.125,18.87,16.87,18.86911
Fri Nov 10 22:20:19 2023,21.71448,47.6232,21.6512,0.000734959,99598.49,2278,2944,27,54.10399,0.0,20.3125,19.14,17.25964,19.12943
Fri Nov 10 22:21:20 2023,21.81862,47.38669,21.7799,0.000705313,99600.35,2275,2915,50,9.904462,0.0,20.4375,19.32,17.49139,19.30991
Fri Nov 10 22:22:21 2023,21.91475,47.1807,21.84425,4.736901e-05,99598.0,2256,2916,24,55.17508,0.0,20.625,19.59,17.95663,19.58817
Fri Nov 10 22:23:22 2023,21.99753,46.98996,21.9515,0.00126125,99603.11,2279,2919,25,54.83252,0.0,20.75,19.77,18.20569,19.75736
Fri Nov 10 22:24:22 2023,22.06429,46.80686,22.01586,0.004666907,99601.6,2303,2967,23,55.50464,0.0,20.8125,19.86,18.32028,19.83267
Fri Nov 10 22:25:23 2023,22.12837,46.68478,22.04803,4.573025e-06,99603.9,2247,2870,25,54.83252,0.0,20.875,19.95,18.46353,19.94958
Fri Nov 10 22:26:24 2023,22.1711,46.57034,22.10166,0.001090424,99603.89,2274,2957,25,54.83252,0.0,20.9375,20.04,18.58725,20.02908
Fri Nov 10 22:27:25 2023,22.21382,46.47879,22.14455,0.002551877,99604.76,2287,2945,21,56.12846,0.0,21.0,20.13,18.72025,20.11227
Fri Nov 10 22:28:26 2023,22.25655,46.39487,22.14455,0.002057835,99603.75,2283,2940,37,49.107,0.0,21.0,20.13,18.72025,20.11441
Fri Nov 10 22:29:27 2023,22.26456,46.37961,22.18745,0.009356147,99601.09,2320,2950,26,54.47589,0.0,21.0625,20.22,18.85287,20.18225
Fri Nov 10 22:30:28 2023,22.32063,46.31094,22.24108,0.03276257,99602.13,2375,2983,32,51.95999,0.0,21.0625,20.22,18.80579,20.13773
Fri Nov 10 22:31:28 2023,22.31796,46.29569,22.23036,0.009319873,99601.74,2319,2945,28,53.71545,0.0,21.0625,20.22,18.81522,20.18152
Fri Nov 10 22:32:29 2023,22.35001,46.25754,22.23036,0.002261595,99603.98,2283,2934,21,56.12846,0.0,21.0625,20.22,18.81522,20.20355
Fri Nov 10 22:33:30 2023,22.34734,46.24991,22.25181,0.004084225,99601.37,2295,2896,20,56.42435,0.0,21.0625,20.22,18.79633,20.19629
Fri Nov 10 22:34:31 2023,22.40341,46.20413,22.28398,0.00337571,99604.5,2290,2959,28,53.71545,0.0,21.0625,20.22,18.76788,20.19852
Fri Nov 10 22:35:32 2023,22.40341,46.17362,22.26254,0.0002104615,99607.92,2255,2873,36,49.75749,0.0,21.0625,20.22,18.78687,20.21597
Fri Nov 10 22:36:33 2023,22.4221,46.15836,22.29471,0.0001692326,99606.89,2253,2915,35,50.36264,0.0,21.0625,20.22,18.75836,20.2164
Fri Nov 10 22:37:33 2023,22.45415,46.11258,22.31616,0.01531929,99609.42,2336,2975,28,53.71545,0.0,21.0625,20.22,18.73932,20.16593
Fri Nov 10 22:38:34 2023,22.47017,46.05917,22.31616,0.00302407,99610.24,2287,2941,25,54.83252,0.0,21.125,20.31,18.91022,20.29047
Fri Nov 10 22:39:35 2023,22.48352,46.05155,22.35905,0.005830629,99609.01,2302,2955,24,55.17508,0.0,21.125,20.31,18.87244,20.28043
Fri Nov 10 22:40:36 2023,22.50488,46.0134,22.36978,0.000814643,99610.51,2265,2914,30,52.882,0.0,21.125,20.31,18.86295,20.30087
Fri Nov 10 22:41:37 2023,22.52892,45.96762,22.39124,0.002541828,99610.68,2282,2953,25,54.83252,0.0,21.125,20.31,18.84393,20.29175
Fri Nov 10 22:42:38 2023,22.53159,45.96762,22.38051,0.002140197,99614.23,2279,2933,21,56.12846,0.0,21.1875,20.4,19.02399,20.38434
Fri Nov 10 22:43:39 2023,22.55295,45.95999,22.41268,0.001024219,99614.57,2267,2917,22,55.82215,0.0,21.1875,20.4,18.99579,20.38977
Fri Nov 10 22:44:39 2023,22.56096,45.9371,22.44486,0.003893173,99616.72,2290,2938,32,51.95999,0.0,21.1875,20.4,18.96747,20.37686
Fri Nov 10 22:45:40 2023,22.59834,45.8837,22.45558,0.001854314,99616.75,2275,2927,21,56.12846,0.0,21.1875,20.4,18.95801,20.3851
Fri Nov 10 22:46:41 2023,22.593,45.83792,22.45558,0.000936521,99617.28,2265,2913,24,55.17508,0.0,21.25,20.49,19.1283,20.48053
Fri Nov 10 22:47:42 2023,22.6384,45.83029,22.48775,0.001410837,99613.4,2270,2944,23,55.50464,0.0,21.25,20.49,19.10019,20.47772
