#t (s)	T TESTO (°C)	T DS18B20 (°C)
695	32.5	28.5625
696	32.5	28.5625
697	32.5	28.5625
698	32.5	28.5625
699	32.5	28.5625
700	32.5	28.5625
701	32.5	28.5625
702	32.5	28.5625
703	32.5	28.5625
704	32.5	28.5625
705	32.5	28.5625
706	32.5	28.625
707	32.5	28.625
708	32.5	28.625
709	32.5	28.5625
710	32.5	28.625
711	32.5	28.625
712	32.5	28.625
713	32.5	28.625
714	32.5	28.625
715	32.5	28.625
716	32.6	28.625
717	32.6	28.625
718	32.6	28.625
719	32.6	28.625
720	32.6	28.625
721	32.6	28.625
722	32.6	28.6875
723	32.6	28.6875
724	32.6	28.6875
725	32.6	28.6875
726	32.6	28.6875
727	32.6	28.6875
728	32.6	28.6875
729	32.6	28.6875
730	32.6	28.6875
731	32.6	28.6875
732	32.6	28.6875
733	32.6	28.6875
734	32.6	28.75
735	32.6	28.6875
736	32.6	28.6875
737	32.6	28.75
738	32.6	28.6875
739	32.6	28.75
740	32.6	28.6875
741	32.6	28.75
742	32.6	28.75
743	32.6	28.75
744	32.7	28.75
745	32.7	28.75
746	32.7	28.75
747	32.7	28.75
748	32.7	28.75
749	32.7	28.75
750	32.7	28.75
751	32.7	28.8125
752	32.7	28.75
753	32.7	28.75
754	32.7	28.8125
755	32.7	28.8125
756	32.7	28.8125
757	32.7	28.8125
758	32.7	28.8125
759	32.7	28.8125
760	32.7	28.8125
761	32.7	28.8125
762	32.7	28.8125
763	32.7	28.8125
764	32.7	28.8125
765	32.7	28.8125
766	32.7	28.8125
767	32.7	28.8125
768	32.7	28.8125
769	32.7	28.8125
770	32.8	28.875
771	32.8	28.8125
772	32.8	28.8125
773	32.8	28.875
774	32.8	28.875
775	32.8	28.8125
776	32.8	28.875
777	32.8	28.875
778	32.8	28.875
779	32.8	28.875
780	32.8	28.875
781	32.8	28.875
782	32.8	28.875
783	32.8	28.875
784	32.8	28.875
785	32.8	28.875
786	32.8	28.9375
787	32.8	28.9375
788	32.8	28.9375
789	32.8	28.875
790	32.8	28.9375
791	32.8	28.9375
792	32.8	28.9375
793	32.8	28.9375
794	32.8	28.9375
795	32.8	28.9375
796	32.8	28.9375
797	32.8	28.9375
798	32.8	28.9375
799	32.8	28.9375
800	32.9	28.9375
801	32.9	29
802	32.9	28.9375
803	32.9	28.9375
804	32.9	28.9375
805	32.9	29
806	32.9	29
807	32.9	29
808	32.9	29
809	32.9	29
810	32.9	29
811	32.9	29
812	32.9	29
813	32.9	29
814	33	29
815	33	29
816	33	29
817	33	29
818	33	29
819	33	29
820	33	29.0625
821	33	29
822	33	29
823	33	29.0625
824	33	29
825	33	29.0625
826	33	29.0625
827	33	29.0625
828	33	29.0625
829	33	29.0625
830	33	29.0625
831	33	29.0625
832	33	29.0625
833	33	29.0625
834	33	29.0625
835	33	29.0625
836	33	29.0625
837	33	29.0625
838	33	29.0625
839	33	29.125
840	33	29.125
841	33	29.0625
842	33.1	29.0625
843	33.1	29.125
844	33.1	29.125
