#t(s)	T TESTO (°C)	T DS18B20 (°C)
981	34.8	30.625
982	34.8	30.625
983	34.8	30.625
984	34.8	30.5625
985	34.8	30.625
986	34.8	30.625
987	34.8	30.625
988	34.8	30.625
989	34.8	30.625
990	34.8	30.625
991	34.9	30.625
992	34.9	30.625
993	34.9	30.625
994	34.9	30.5625
995	34.8	30.625
996	34.8	30.625
997	34.9	30.625
998	34.9	30.625
999	34.9	30.625
1000	34.9	30.625
1001	34.9	30.625
1002	34.9	30.625
1003	34.9	30.625
1004	34.9	30.625
1005	34.9	30.625
1006	34.9	30.625
1007	34.9	30.625
1008	34.9	30.625
1009	34.9	30.5625
1010	34.9	30.625
1011	34.9	30.6875
1012	34.9	30.625
1013	34.9	30.625
1014	34.9	30.625
1015	34.9	30.625
1016	34.9	30.625
1017	34.9	30.625
1018	34.9	30.625
1019	34.9	30.625
1020	34.9	30.625
1021	34.9	30.625
1022	34.9	30.625
1023	34.9	30.625
1024	34.9	30.625
1025	34.9	30.625
1026	34.9	30.625
1027	34.9	30.6875
1028	34.9	30.6875
1029	34.9	30.625
1030	34.9	30.625
1031	34.9	30.625
1032	34.9	30.625
1033	34.9	30.625
1034	34.9	30.625
1035	34.9	30.625
1036	34.9	30.6875
1037	34.9	30.625
1038	34.9	30.625
1039	34.9	30.625
1040	34.9	30.625
1041	34.9	30.6875
1042	34.9	30.6875
1043	34.9	30.6875
1044	34.9	30.625
1045	34.9	30.6875
1046	34.9	30.6875
1047	34.9	30.6875
1048	34.9	30.6875
1049	34.9	30.6875
1050	34.9	30.6875
1051	34.9	30.6875
1052	34.9	30.6875
1053	34.9	30.6875
1054	34.9	30.6875
1055	34.9	30.6875
1056	34.9	30.625
1057	34.9	30.6875
1058	34.9	30.6875
1059	34.9	30.625
1060	34.9	30.6875
1061	34.9	30.6875
1062	34.9	30.6875
1063	34.9	30.6875
1064	34.9	30.6875
1065	34.9	30.6875
1066	34.9	30.6875
1067	34.9	30.6875
1068	34.9	30.6875
1069	34.9	30.6875
1070	34.9	30.6875
1071	34.9	30.6875
1072	34.9	30.6875
1073	34.9	30.6875
1074	34.9	30.6875
1075	34.9	30.6875
1076	34.9	30.6875
1077	34.9	30.6875
1078	34.9	30.6875
1079	34.9	30.6875
1080	34.9	30.6875
1081	34.9	30.6875
1082	34.9	30.6875
1083	34.9	30.6875
1084	34.9	30.6875
1085	34.9	30.6875
1086	34.9	30.6875
1087	34.9	30.6875
1088	34.9	30.6875
1089	34.9	30.6875
1090	34.9	30.6875
1091	34.9	30.6875
1092	34.9	30.6875
1093	34.9	30.6875
1094	34.9	30.6875
1095	34.9	30.6875
1096	34.9	30.6875
1097	34.9	30.6875
1098	34.9	30.6875
1099	34.9	30.6875
1100	34.9	30.6875
1101	34.9	30.6875
1102	34.9	30.6875
1103	34.9	30.6875
1104	34.9	30.6875
1105	35	30.6875
1106	35	30.6875
1107	35	30.6875
1108	35	30.75
1109	35	30.6875
1110	35	30.6875
1111	35	30.75
1112	35	30.6875
1113	35	30.6875
1114	35	30.6875
1115	35	30.6875
1116	35	30.6875
1117	35	30.75
1118	35	30.6875
1119	35	30.6875
1120	35	30.6875
1121	35	30.6875
1122	35	30.6875
1123	35	30.6875
1124	35	30.75
1125	35	30.75
1126	35	30.6875
1127	35	30.75
1128	35	30.75
1129	35	30.75
1130	35	30.75
1131	35	30.75
1132	35	30.75
1133	35	30.75
1134	35	30.75
1135	35	30.75
1136	35	30.75
1137	35	30.75
1138	35	30.75
1139	35	30.75
1140	35	30.75
1141	35	30.75
1142	35	30.75
1143	35	30.75
1144	35	30.75
1145	35	30.75
1146	35	30.6875
1147	35	30.75
1148	35	30.75
1149	35	30.75
1150	35	30.75
1151	35	30.75
1152	35	30.75
1153	35	30.75
1154	35	30.75
1155	35	30.75
1156	35	30.75
1157	35	30.75
1158	35	30.6875
1159	35	30.75
1160	35	30.75
1161	35	30.75
1162	35	30.75
1163	35	30.75
1164	35	30.75
1165	35	30.75
1166	35	30.75
1167	35	30.75
1168	35	30.75
1169	35	30.75
1170	35	30.75
1171	35	30.75
1172	35	30.75
1173	35	30.75
1174	35	30.75
1175	35	30.75
1176	35	30.75
1177	35	30.75
1178	35	30.75
1179	35	30.75
1180	35	30.75
1181	35	30.75
1182	35	30.75
1183	35	30.75
1184	35	30.75
1185	35	30.75
1186	35	30.75
1187	35	30.75
1188	35	30.75
1189	35	30.8125
1190	35	30.75
