NO;SOUND;UNIT;TIME
302;51.5;dBC;05-04-24/14:36:30
303;52.4;dBC;05-04-24/14:36:40
304;57.4;dBC;05-04-24/14:36:50
305;62.0;dBC;05-04-24/14:37:00
306;53.6;dBC;05-04-24/14:37:10
307;55.5;dBC;05-04-24/14:37:20
308;57.7;dBC;05-04-24/14:37:30
309;57.0;dBC;05-04-24/14:37:40
310;51.9;dBC;05-04-24/14:37:50
311;51.0;dBC;05-04-24/14:38:00
312;49.6;dBC;05-04-24/14:38:10
313;49.1;dBC;05-04-24/14:38:20
314;50.8;dBC;05-04-24/14:38:30
315;51.7;dBC;05-04-24/14:38:40
316;53.4;dBC;05-04-24/14:38:50
317;51.7;dBC;05-04-24/14:39:00
318;48.8;dBC;05-04-24/14:39:10
319;49.1;dBC;05-04-24/14:39:20
320;49.8;dBC;05-04-24/14:39:30
321;59.3;dBC;05-04-24/14:39:40
322;51.5;dBC;05-04-24/14:39:50
323;49.6;dBC;05-04-24/14:40:00
324;48.1;dBC;05-04-24/14:40:10
325;51.5;dBC;05-04-24/14:40:20
326;51.2;dBC;05-04-24/14:40:30
327;51.9;dBC;05-04-24/14:40:40
328;50.3;dBC;05-04-24/14:40:50
329;49.8;dBC;05-04-24/14:41:00
330;49.6;dBC;05-04-24/14:41:10
331;51.0;dBC;05-04-24/14:41:20
332;55.0;dBC;05-04-24/14:41:30
333;56.7;dBC;05-04-24/14:41:40
334;51.9;dBC;05-04-24/14:41:50
335;53.4;dBC;05-04-24/14:42:00
336;63.6;dBC;05-04-24/14:42:10
337;62.7;dBC;05-04-24/14:42:20
338;50.0;dBC;05-04-24/14:42:30
339;52.2;dBC;05-04-24/14:42:40
340;53.4;dBC;05-04-24/14:42:50
341;54.3;dBC;05-04-24/14:43:00
342;51.5;dBC;05-04-24/14:43:10
343;56.5;dBC;05-04-24/14:43:20
344;51.2;dBC;05-04-24/14:43:30
345;50.0;dBC;05-04-24/14:43:40
346;51.0;dBC;05-04-24/14:43:50
347;51.5;dBC;05-04-24/14:44:00
348;70.1;dBC;05-04-24/14:44:10
349;55.0;dBC;05-04-24/14:44:20
350;66.5;dBC;05-04-24/14:44:30
351;64.1;dBC;05-04-24/14:44:40
352;54.3;dBC;05-04-24/14:44:50
353;55.5;dBC;05-04-24/14:45:00
354;56.5;dBC;05-04-24/14:45:10
355;51.0;dBC;05-04-24/14:45:20
356;51.5;dBC;05-04-24/14:45:30
357;52.7;dBC;05-04-24/14:45:40
358;52.7;dBC;05-04-24/14:45:50
359;49.6;dBC;05-04-24/14:46:00
360;51.2;dBC;05-04-24/14:46:10
361;49.1;dBC;05-04-24/14:46:20
362;51.0;dBC;05-04-24/14:46:30
363;54.6;dBC;05-04-24/14:46:40
364;52.9;dBC;05-04-24/14:46:50
365;53.9;dBC;05-04-24/14:47:00
366;56.7;dBC;05-04-24/14:47:10
367;53.9;dBC;05-04-24/14:47:20
368;52.2;dBC;05-04-24/14:47:30
369;55.5;dBC;05-04-24/14:47:40
370;52.4;dBC;05-04-24/14:47:50
371;52.7;dBC;05-04-24/14:48:00
372;52.4;dBC;05-04-24/14:48:10
373;55.0;dBC;05-04-24/14:48:20
374;55.8;dBC;05-04-24/14:48:30
375;53.4;dBC;05-04-24/14:48:40
376;54.1;dBC;05-04-24/14:48:50
377;51.9;dBC;05-04-24/14:49:00
378;61.0;dBC;05-04-24/14:49:10
379;54.3;dBC;05-04-24/14:49:20
380;55.0;dBC;05-04-24/14:49:30
381;52.7;dBC;05-04-24/14:49:40
382;58.6;dBC;05-04-24/14:49:50
383;55.8;dBC;05-04-24/14:50:00
384;65.1;dBC;05-04-24/14:50:10
385;57.2;dBC;05-04-24/14:50:20
386;52.7;dBC;05-04-24/14:50:30
387;54.1;dBC;05-04-24/14:50:40
388;51.2;dBC;05-04-24/14:50:50
389;50.3;dBC;05-04-24/14:51:00
390;52.4;dBC;05-04-24/14:51:10
391;57.9;dBC;05-04-24/14:51:20
392;55.3;dBC;05-04-24/14:51:30
393;50.0;dBC;05-04-24/14:51:40
394;50.3;dBC;05-04-24/14:51:50
395;53.4;dBC;05-04-24/14:52:00
396;50.5;dBC;05-04-24/14:52:10
397;50.8;dBC;05-04-24/14:52:20
398;51.7;dBC;05-04-24/14:52:30
399;51.5;dBC;05-04-24/14:52:40
400;52.4;dBC;05-04-24/14:52:50
401;51.7;dBC;05-04-24/14:53:00
402;51.9;dBC;05-04-24/14:53:10
403;52.9;dBC;05-04-24/14:53:20
404;52.2;dBC;05-04-24/14:53:30
405;53.9;dBC;05-04-24/14:53:40
406;51.2;dBC;05-04-24/14:53:50
407;50.3;dBC;05-04-24/14:54:00
408;48.8;dBC;05-04-24/14:54:10
409;51.5;dBC;05-04-24/14:54:20
410;49.3;dBC;05-04-24/14:54:30
411;54.1;dBC;05-04-24/14:54:40
412;53.4;dBC;05-04-24/14:54:50
413;51.2;dBC;05-04-24/14:55:00
414;49.8;dBC;05-04-24/14:55:10
415;51.0;dBC;05-04-24/14:55:20
416;50.8;dBC;05-04-24/14:55:30
417;51.2;dBC;05-04-24/14:55:40
418;52.7;dBC;05-04-24/14:55:50
419;55.5;dBC;05-04-24/14:56:00
420;57.2;dBC;05-04-24/14:56:10
421;66.3;dBC;05-04-24/14:56:20
422;61.2;dBC;05-04-24/14:56:30
423;60.8;dBC;05-04-24/14:56:40
424;57.9;dBC;05-04-24/14:56:50
425;51.0;dBC;05-04-24/14:57:00
426;50.5;dBC;05-04-24/14:57:10
427;50.5;dBC;05-04-24/14:57:20
428;51.2;dBC;05-04-24/14:57:30
429;50.3;dBC;05-04-24/14:57:40
430;51.0;dBC;05-04-24/14:57:50
431;51.9;dBC;05-04-24/14:58:00
432;51.0;dBC;05-04-24/14:58:10
433;58.6;dBC;05-04-24/14:58:20
434;54.8;dBC;05-04-24/14:58:30
435;54.6;dBC;05-04-24/14:58:40
